run,n_acciones,kge_mediano,weap_J1_gw_storage,weap_J2_unmet_ap,weap_J3_agri_value,weap_J4_supply_cost,weap_J51_mean_town_fail,weap_J52_worst_year_frac,weap_J6_coastal_salinity,mlp_J1_gw_storage,mlp_J2_unmet_ap,mlp_J3_agri_value,mlp_J4_supply_cost,mlp_J51_mean_town_fail,mlp_J52_worst_year_frac,mlp_J6_coastal_salinity
853,1,0.8590122261968691,32439818.0,29404566.0,52081214986.72692,99630133313.82494,,,0.8647407971339903,31931729.63982045,29490286.81330143,52225711888.99927,102861187073.61792,,,0.8636104932146563
857,3,0.8350857909309815,32958350.0,65401236.0,40508320647.58007,94728915056.89554,,,0.8630378545951547,31927066.612606846,64186134.275375195,39742165966.0399,96575445738.48398,,,0.8742557637699548
858,1,0.8678598133909861,31951406.0,16543402.0,49832567056.337906,101783638245.33612,,,0.8642683813714575,31947720.59163605,15947869.254189324,50001806136.83062,113147230498.45372,,,0.8661283015188065
862,2,0.8669947422279631,36266808.0,19977244.0,49544475026.291084,69089640929.92781,,,0.8661710735708592,36029085.832734965,20477948.951376393,50005076447.15352,68633645463.74528,,,0.870980740538955
863,3,0.8702771117099393,38389684.0,23803200.0,61116550995.72666,89891953085.81702,,,0.8651620771594073,38262987.373408556,25759079.51498416,59120710204.76537,86387253435.5125,,,0.8620402948867997
871,3,0.879664325351437,38389684.0,20758526.0,60084635837.76896,82892943595.79079,,,0.8633321675109419,38262987.373408556,21150393.459255435,58657944603.82911,80566653187.94836,,,0.8618001207281395
875,3,0.8472447139058491,36238100.0,54396780.0,56164579083.744064,96618579847.67558,,,0.8610959593973702,35978467.99388444,54160439.452963926,55453400884.93414,101166168336.46005,,,0.8707819699066568
892,2,0.8373286747812103,38779412.0,12173564.0,35211406720.11807,75512315853.54558,,,0.8625485262114962,38629626.33856708,13200705.818378262,36729227591.12214,76375619137.85068,,,0.8668417663193961
900,3,0.8371693358513346,36215072.0,54492036.0,58137281047.05346,96871647762.6709,,,0.8616834329187917,35921862.53877401,54254440.10563207,56744951727.29503,99188513976.66829,,,0.8711113489466575
916,2,0.8825853445362726,38341956.0,72582768.0,67159953961.859665,112720268255.80978,,,0.863758960016587,38080556.502158985,71182724.00227502,63126554889.54788,108785876156.12956,,,0.8677979513784587
925,2,0.8572745551326257,37871320.0,13897672.0,66295856344.58006,84831613014.8204,,,0.8653343657050468,37764116.74766818,13965263.0778641,63418805329.72051,78293819415.44043,,,0.8616871664579763
935,3,0.8356926001047648,36198628.0,17514744.0,57663177979.4122,51813660528.34393,,,0.8667529618082438,35765397.62950458,18073126.00911216,55107591806.415985,38960921148.03289,,,0.8723075675022083
936,4,0.8539849494196898,36201696.0,53044500.0,60168240883.623,72664817283.44183,,,0.8623017916034708,35759374.83077353,54555791.434556276,58338830221.32939,51249895056.87961,,,0.8727791471643799
938,1,0.8624655544144659,39267376.0,67270320.0,68171972952.234856,110876007220.14545,,,0.8550314318791042,39113840.646931596,66575727.87152538,64432937332.02165,109384228193.4596,,,0.8672739707014687
967,2,0.8727344994463024,37722796.0,55885320.0,69292949967.4728,96386034991.66772,,,0.864109714548071,37642991.2779098,56399812.72195148,64293500148.70243,91601992777.03435,,,0.8699494062936117
2200,4,0.7893997073458899,35068256.0,0.11135256290435791,44176759464.21848,49803830222.09254,,,0.8638678248667773,34686472.288721815,439618.8024902268,42779113102.35875,44414231010.67342,,,0.8655603485234822
2201,4,0.8106202560125241,33777952.0,0.11163879185914993,48396350442.97069,49151397351.89465,,,0.8639580791276282,32888089.237065945,538132.2292945887,45604607577.16545,43543130070.414734,,,0.8658813643542645
